Model,SSE,MSE,FirstQuartile,Median,ThirdQuartile,Maximum
meanmodel,89.2387543252595,0.072,0.0,0.0,0.002,9.0
modmeanmodel,84.34212802768167,0.069,0.0,0.0,0.0,9.0
zeromodel,86.0,0.07,0.0,0.0,0.0,9.0
linregmodel,181.06846377752993,0.147,0.0,0.001,0.015,30.227
incrmodel,74.74565139234647,0.061,0.0,0.0,0.001,6.079
