meanmodel_sse,meanmodel_mse,meanmodel_median,modmeanmodel_sse,modmeanmodel_mse,modmeanmodel_median,zeromodel_sse,zeromodel_mse,zeromodel_median,linregmodel_sse,linregmodel_mse,linregmodel_median,incrmodel_sse,incrmodel_mse,incrmodel_median,sse_diffs_to_meanmodel,mse_diffs_to_meanmodel,sse_diffs_to_modmeanmodel,mse_diffs_to_modmeanmodel,sse_diffs_to_zeromodel,mse_diffs_to_zeromodel,sse_diffs_to_linregmodel,mse_diffs_to_linregmodel
678.852157943067,0.5568926644323765,0.0009182736455463729,669.9072543617997,0.5495547615765379,0.0,644.0,0.5283018867924528,0.0,1071.8662376217985,0.8792996206905648,0.006866536328796394,888.6885468847888,0.7290308013821073,0.00044167969604458677,-209.8363889417218,-0.1721381369497308,-218.78129252298913,-0.17947603980556937,-244.68854688478882,-0.20072891458965447,183.1776907370097,0.15026881930845748
304.86868686868684,0.25705622838843745,0.0009182736455463729,297.89990817263543,0.2511803610224582,0.0,302.0,0.25463743676222594,0.0,640.3829253131232,0.5399518763179791,0.005784508908545688,289.8578374523329,0.24439952567650328,0.0004693165059602188,15.010849416353949,0.01265670271193417,8.042070720302547,0.006780835345954944,12.142162547667112,0.010237911085722667,350.52508786079034,0.2955523506414759
295.6887052341598,0.2413785348850284,0.0009182736455463729,288.9494949494949,0.23587713873428157,0.0,281.0,0.22938775510204082,0.0,573.8422376602073,0.4684426429879243,0.0056764755730686345,267.5562410977318,0.21841325803896475,0.00032685637832140924,28.132464136427984,0.022965276846063643,21.39325385176312,0.01746388069531682,13.4437589022682,0.010974497063076072,306.2859965624755,0.25002938494895954
270.1010101010101,0.2245228679143891,0.0009182736455463729,263.8852157943067,0.2193559566037462,0.0,264.0,0.2194513715710723,0.0,524.8171110728241,0.4362569501852237,0.005073466268696941,255.54566839824298,0.21242366450394262,0.00024840602869916816,14.555341702767123,0.012099203410446485,8.339547396063722,0.006932292099803589,8.45433160175702,0.007027707067129685,269.2714426745811,0.22383328568128108
205.78696051423324,0.1722066615181868,0.0009182736455463729,198.8696051423324,0.16641807961701457,0.0,186.0,0.15564853556485356,0.0,493.1522571536071,0.4126797130992528,0.004139527975940862,214.75764375977988,0.17971350942240993,0.0002366035172333959,-8.970683245546638,-0.007506847904223124,-15.888038617447478,-0.013295429805395359,-28.75764375977988,-0.024064973857556377,278.39461339382717,0.23296620367684284
204.53810835629017,0.1660211918476381,0.0009182736455463729,196.3792470156107,0.15939873946072297,0.0,192.0,0.15584415584415584,0.0,409.07722037398366,0.3320431983555062,0.003600093891871773,215.6926410510334,0.17507519565830634,0.0001615872077736193,-11.154532694743239,-0.009054003810668232,-19.313394035422704,-0.01567645619758337,-23.692641051033405,-0.019231039814150502,193.38457932295026,0.15696800269719988
279.46280991735534,0.22573732626603824,0.0009182736455463729,273.0964187327824,0.22059484550305525,0.0,264.0,0.21324717285945072,0.0,529.8562028392378,0.42799370180875423,0.0033067832375418024,258.93747224414415,0.20915789357362208,0.00014881782476008792,20.525337673211197,0.016579432692416157,14.158946488638264,0.01143695192943317,5.062527755855854,0.00408927928582864,270.9187305950936,0.21883580823513216
417.9770431588612,0.33626471694196397,0.0009182736455463729,404.9605142332414,0.3257928513541765,0.0,417.0,0.335478680611424,0.0,752.2936648049624,0.6052241872928097,0.0032686767630477503,342.14200152059925,0.2752550293810131,9.578859222564487e-5,75.83504163826194,0.061009687560950876,62.81851271264213,0.05053782197316342,74.85799847940075,0.0602236512304109,410.15166328436317,0.3299691579117966
216.67401285583105,0.17403535169143056,0.0009182736455463729,207.91276400367312,0.16699820401901455,0.0,218.0,0.1751004016064257,0.0,529.4108680672795,0.42522961290544536,0.003293695726616595,222.29378738028174,0.17854922681147128,0.00011988336785433184,-5.6197745244506905,-0.004513875120040728,-14.381023376608624,-0.011551022792456733,-4.293787380281742,-0.0034488252050455803,307.1170806869977,0.24668038609397408
218.20293847566575,0.17740076298834614,0.0009182736455463729,211.0964187327824,0.17162310466079872,0.0,207.0,0.16829268292682928,0.0,524.2481141226328,0.4262179789614901,0.0030880157857271838,204.6460324004429,0.16637888813044138,0.00017865565407953349,13.556906075222855,0.011021874857904762,6.450386332339519,0.005244216530357337,2.3539675995571088,0.0019137947963878965,319.60208172218995,0.2598390908310487
195.55463728191,0.16460828054032828,0.0009182736455463729,187.67584940312213,0.15797630421138226,0.0,186.0,0.15656565656565657,0.0,356.5429570232682,0.30012033419467016,0.0030796810538848826,199.72501865282794,0.1681187025697205,0.0001533241149281816,-4.170381370917937,-0.003510422029392224,-12.049169249705812,-0.010142398358338245,-13.725018652827941,-0.011553046004063927,156.81793837044023,0.13200163162494966
148.48852157943068,0.12374043464952557,0.0009182736455463729,141.91368227731866,0.11826140189776554,0.0,138.0,0.115,0.0,420.2848391238223,0.35023736593651855,0.00278159513723641,155.47162788755872,0.12955968990629893,0.00013033638188003816,-6.983106308128043,-0.005819255256773362,-13.557945610240068,-0.011298288008533386,-17.471627887558725,-0.014559689906298925,264.81321123626356,0.22067767603021962
179.7786960514233,0.14919393863188657,0.0009182736455463729,173.14141414141415,0.1436858208642441,0.0,164.0,0.13609958506224065,0.0,343.58472607991655,0.2851325527634162,0.002895449596938356,163.49113795289188,0.1356772929069642,7.740687044692948e-5,16.287558098531434,0.013516645724922366,9.65027618852227,0.00800852795727991,0.5088620471081242,0.00042229215527644914,180.09358812702467,0.149455259856452
